Year	science direct	IEEE Xplore	Springer	Pubmed	arXiv
2023	388574	9728	16184	80,462	18717
2022	366000	7629	12805	91,899	14442
2021	359000	5716	9925	93,158	13762
2020	325000	3989	7096	82,216	12543
2019	298000	3158	5794	69,355	10714
2018	286000	2048	4944	64,287	9565
2017	251000	1658	4089	60,652	8381
2016	262000	1201	4076	58,183	7995
2015	255000	1100	3712	56,706	7471
2014	235000	1037	3559	56,174	6764
2013	224000	985	3487	55,008	6529
2012	205000	949	3116	52,795	6074
2011	193000	897	3031	48,346	5753
2010	180000	962	2702	44,909	5278
